ID	HeatJan	CoolJuly	HeatTotal	CoolTotal	zone_area	bldg_height	op_S_area	op_E_area	op_N_area	op_W_area	gl_S_area	gl_E_area	gl_N_area	gl_W_area	roof_op_area	op_belowgrade_area	bldg_mass_type	roof_op_uValue	op_uValue	gl_uValue	gl_solar_trans	zone_occ_density	zone_occ_metabolic_rate	zone_app_heat_flow_rate	zone_light_heat_flow_rate	zone_freshair_per_occ	totalocc	totalapp	totallight	avgOccWeek	avgAppWeek	avgLightWeek
21	6.65	24.98	14.49	163.09	3541.655	14.5575	836.425	362.025	1011.76	362.265	272.885	0	162.265	0	1862.945	0	4	0.82835	0.86655	3.066	0.8046	10.25695521	145.6084212	10.15105509	25.6766187	10.84069989	34.67325903	84.86470227	57.5971961	0.615995013	1	0.960037259
22	1.18	26.83	2.04	216.44	13853.65	19.609	1624.035	1643.39	2361.155	1955.4	607.965	692.415	633.785	347.79	2822.445	1093.4	3	0.32765	0.17935	3.066	0.8046	9.821485496	154.9578108	14.44648739	29.6609666	11.15169695	34.4122968	99.09629824	54.87544255	0.609064607	1	0.914769839
23	0.03	16.93	0.04	145.19	9355.775	21.34	471.79695	882.2055	401.8965	822.62525	7.431	53.17775	117.0197	59.700225	1434.33825	0	4	0.6832	0.37385	1.4325	0.233	9.018477734	150.0582666	13.02596151	25.05247828	10.82609691	31.32966732	104.220349	53.62609909	0.557229338	1	0.89587968
24	3.83	16.33	7.88	108.05	10742.805	17.07	587.5325	1601.52	590.395	1571.054	340.28	443.235	664.13	432.99	3839.945	413.727	3	0.29515	0.86405	1.414	0.06	9.1561294	144.8732877	9.200827438	23.61540352	10.72712212	32.03142165	89.0128956	57.12738138	0.57163722	1	0.952223436
25	2.21	16.4	4.2	114.96	8220.64	13.3715	684.11	1073.596	841.734	522.9295	76.065	62.005	84.26	180.37	3612.835	1177.9455	3	0.48415	0.46915	2.85	0.3	8.775709957	144.5646624	10.09596637	21.01276634	10.52994618	30.76328605	97.91943765	55.09781087	0.548495698	1	0.919089625
26	16.75	23.03	48.44	127.38	2572.64	9.796	328.563	442.3155	333.4	469.81	43.02	67.125	52.21	62.945	694.91	84.5315	3	0.53085	1.9975	5.525	0.69	8.907814028	125.7736906	12.68255566	12.0926247	10.13437342	38.64644492	113.0385196	34.58931188	0.125300393	0.820564489	0.29791875
27	2.36	17.88	4.37	125.73	6459.765	19.145	649.015	1051.919	603.045	1367.08	10.77	171.315	41.3795	191.6475	1588.72	503.637	3	0.2202	0.32565	5.74	0.69	8.534767494	142.3352938	13.63253864	17.5086168	11.39349236	25.97440531	97.21768825	51.80336171	0.440496852	0.968227136	0.810260861
28	10.31	25.58	26	158.07	22156.13	19.5085	2746.17	2093.8	2460.55	2069.615	811.655	1410.85	1612.17	1062.995	5665.33	0	3	0.41125	0.3208	5.581	0.69	8.662184141	135.4595412	5.299149265	25.37284941	10	36.84325771	68.40323642	67.43744999	0.595738293	1	1
29	4.54	24.4	10.09	165.54	3500.52	9.54	383.8485	186.81	329.515	285.4985	192.855	268.76	437.225	94.095	1750.46	0	3	0.41125	0.3145	2.657	0.5	10.73750468	132.8941935	13.31417161	21.68341418	10	34.41135512	79.96180577	57.20810598	0.628461196	1	0.953566024
30	2.28	16.94	4.49	118.66	5101.23	12.438	534.295	439.945	475.2	426.485	308.115	112.34	401.73	49.495	1748.615	0	3	0.25325	0.2416	2.657	0.5	8.566158716	145.6694365	5.970323824	20.28997908	10.49148794	30.15101151	68.81898225	61.3333748	0.493143902	1	1
