ID	HeatJan	CoolJuly	HeatTotal	CoolTotal	zone_area	bldg_height	op_S_area	op_E_area	op_N_area	op_W_area	gl_S_area	gl_E_area	gl_N_area	gl_W_area	roof_op_area	op_belowgrade_area	bldg_mass_type	roof_op_uValue	op_uValue	gl_uValue	gl_solar_trans	zone_occ_density	zone_occ_metabolic_rate	zone_app_heat_flow_rate	zone_light_heat_flow_rate	zone_freshair_per_occ	totalocc	totalapp	totallight	avgOccWeek	avgAppWeek	avgLightWeek
19	13.71	34.53	35.13	24.05	7333.115656	13.9	1064.24613	671.7633016	831.1895634	508.764918	216.8635663	147.9388009	143.6373901	81.9776425	1590.983141	770.2591046	4	1.1039	1.24583	0.7885	0.58	6.031095505	173.5978088	11.79508877	10.84058952	10.66006851	136.5191873	117.0332245	12.83015043	0.691405964	0.929894106	0.119214916
20	2.02	14.84	3.15	3.99	38176.83203	53.34	1607.937016	3395.945208	1841.09206	4235.013878	592.2989651	2171.864043	359.1433643	1332.795373	3376.310151	1691.129831	4	1.731546	0.186086	1.8924	0.53	14.74650955	125.7511215	5.243739128	22.7351265	11.82096004	115.2124358	63.82488024	19.37244267	0.212744665	0.971269289	0.179366708
21	0.43	20.12	0.59	0.07	16051.41564	40.2	1874.021542	868.643424	1782.697854	860.5887304	647.1718669	145.7834504	599.5962202	113.285967	922.6015096	1012.921845	4	0.227088	0.801116	3.65864	0.65	12.94220448	97.35195923	21.18422318	6.05273819	11.13479519	10.63325936	136.1704298	43.03381103	0.13568078	0.842502113	0.329687572
22	16.78	29.41	45.22	32.01	747.869472	4.3	213.3518314	107.5631397	241.2041628	106.2717875	29.60819885	0	24.67504742	0	81.55028851	0	4	2.009098	2.009098	2.53	0.63	14.991045	131.4612274	12.15712643	30.36068344	10.57270336	97.49725069	17.46012897	86.87015499	0.577462626	0.188157095	0.312804914
23	4.71	13.59	10	9.99	2288.759293	6.71	173.4128145	186.0476279	173.3570726	186.0476279	96.57271008	27.30420346	96.6284519	27.30420346	530.188359	277.2226714	4	0.11039	1.081822	3.28016	0.73	9.241481781	120.4074097	7.166907787	17.42348862	13.20444679	17.07908164	108.2645187	18.9671404	0.119277361	0.865929727	0.216035628
24	7.1	24.78	19.7	6.73	3915.212815	11.3	501.1375784	390.2578001	468.3706762	369.3174549	9.401787648	57.74852966	8.305531776	71.05224499	596.4003556	389.3008988	1	0.39425	1.11967	3.466246	0.63	11.59567356	153.1303406	5.69751358	19.17169571	12.18279839	92.15767971	63.94190472	134.9033692	0.03683261	0.372964871	0.646032548
26	5.15	25.34	10.78	7.02	2103.789341	12.8	309.5250584	266.4459187	167.9501157	374.6500894	86.1675696	108.2041707	73.52346586	0	505.8198916	191.7890358	4	0.387942	0.529872	3.466246	0.89	8.837617874	165.0249023	9.47800827	8.170610428	10.977911	77.32214407	57.98201588	149.9487031	0.585585785	0.790384161	0.926190853
27	13.89	36.04	41.11	19.31	543.8543962	10.7	80.88138662	123.3287856	95.51361542	120.6160168	6.819083136	7.887468096	15.89571014	11.19481632	185.3880163	151.0417624	1	0.592952	0.176624	2.64936	0.64	7.71127224	150.2848358	20.99819946	20.58905983	14.86169624	132.1070719	105.6829596	64.70965313	0.536613512	0.718599808	0.578366017
28	10.19	22.34	28.72	23.21	4450.520131	8.23	446.9286545	571.0749869	84.71828218	559.1741075	54.65485843	58.23162547	65.43161107	76.95158803	1506.478535	565.6773203	2	0.227088	0.842118	3.28016	0.73	9.748680115	126.7464371	8.774261475	21.66812897	13.64219856	103.9843044	103.8199529	51.65205711	0.210428587	0.350641596	0.793812919
29	0.22	34.01	0.37	0	3694.382289	9.144	398.6469446	195.189287	373.4702208	198.3201195	133.3158624	7.24643712	146.8797062	9.66191616	707.530972	251.1819492	4	0.387942	0.668648	3.65864	0.76	10.84809685	123.2323303	10.36436176	33.68992615	10.64796925	65.97369055	66.95249356	142.6012773	0.187491751	0.535593998	0.957965267
30	0.26	20.9	0.37	0.01	21739.12555	25.29	3389.908369	977.4226645	2862.355669	866.0131531	442.6179535	224.8067762	970.1678661	336.2161018	2233.906552	1183.764961	4	0.201856	0.261782	1.517074	0.48	7.602110863	99.39524078	12.13428211	16.44631958	12.96244526	113.6675767	103.650779	57.20189422	0.134305358	0.078670979	0.627624965
31	5.86	21.14	15.12	6.98	10549.60471	12.19	1040.170307	535.781122	1040.170307	535.781122	208.6137763	107.5910106	208.6137763	107.5910106	1810.08567	1171.69314	2	0.29963	0.611876	1.54546	0.73	10.37577438	158.0617065	4.773049355	10.20769501	12.90831852	105.683681	96.43136586	132.083487	0.414160395	0.284591973	0.484491086
32	9.24	25.81	22.29	17.81	1583.903929	11.28	112.8864839	272.9770024	154.1725949	288.4639392	26.74678522	47.57564678	7.971080832	35.5354128	323.878578	243.8240285	4	0.592952	0.943046	1.54546	0.73	9.134725571	150.0758209	5.558557034	31.1917038	10.78191471	125.053462	125.7611929	29.53873169	0.438295269	0.592704928	0.168599486
34	8.41	24.06	19.9	17.33	21238.56397	15.39	1133.983797	971.3384444	1647.570382	539.1627926	716.4682445	326.3869601	603.228729	372.9964153	3944.467982	2415.47904	4	0.14193	0.432098	3.65864	0.74	9.023309708	111.6430435	9.373189926	19.53201294	13.83756638	120.6081084	65.26293591	78.42167743	0.3307796	0.623113263	0.353790498
35	6.15	15.91	13.11	12.28	14312.36363	17.37	1398.933976	323.3954822	1393.592052	741.8307744	105.9094656	21.8322144	111.2513904	67.72631616	2021.755956	751.7713997	4	0.195548	0.438406	1.98702	0.52	9.692714691	94.17390442	20.46945	19.74705315	11.52199173	124.822657	32.07781512	45.53229812	0.846207368	0.052284729	0.18636539
37	3.64	19.33	7.05	4.99	1972.05283	13.71	428.0228859	180.1482849	143.6466804	185.9825958	107.2286888	30.28639104	16.58319264	24.45208013	340.0994488	0	4	0.29963	1.189058	3.504094	0.86	9.37908268	106.6277466	12.98558235	23.70877647	11.95866394	34.04217149	88.65306309	32.95119365	0.535884523	0.455552399	0.013317829
38	14.46	35.88	36.16	22.9	5666.620925	21.95	1303.615457	577.4574257	1573.916852	727.9231893	142.6990694	59.82955776	173.7286848	96.80496768	1254.971426	0	4	1.741008	0.70965	2.39704	0.56	6.731645584	170.3564911	10.21119881	16.11139488	14.68218994	103.2367982	133.4803902	99.81519037	0.867670155	0.956352428	0.159926581
39	8.83	23.39	20.49	15.25	746.8475386	4.88	123.4309789	111.8924214	151.3018909	111.8552602	27.870912	0	0	0	746.8754095	0	4	0.886274	0.261782	3.65864	0.76	9.390846252	126.44841	16.60290527	12.44013596	14.62268448	51.26356866	119.4701068	17.50809126	0.662385321	0.433178914	0.108945107
40	1.12	33.74	2.26	0.03	4307.728159	9.45	290.7400637	271.6299084	228.2348984	185.4809194	176.8409366	26.83039795	309.0326723	15.27325978	1384.877746	491.8937259	3	0.135622	0.943046	1.54546	0.73	13.31646061	95.57183075	11.54991817	29.43999863	12.34014416	95.48800787	116.3341353	130.2306188	0.280296135	0.261526549	0.949909997
41	12.42	39.41	30.83	21.62	6254.232653	13.72	209.7100322	463.2888799	253.2629773	326.1268316	33.47296531	688.3093331	0	812.7622454	727.9324796	533.9880933	4	0.176624	0.422636	3.65864	0.76	6.865728378	150.3189087	4.889704704	18.08449173	10.50882626	138.4531425	83.84492635	62.24259089	0.577567148	0.754137337	0.152868909
42	2.05	27.82	3.98	1.15	11149.38673	12.19	1500.746418	1019.137058	1395.422241	1019.137058	190.3954902	111.9481632	381.942978	111.9481632	2263.28528	612.3239366	4	0.533026	0.07885	3.28016	0.73	8.62147522	100.0494003	21.17359543	29.04439163	11.65161705	101.1945032	73.97761048	72.70331405	0.209386349	0.357947314	0.09843421
43	7.2	17.13	16.41	15.21	2125.249943	10.67	102.2397955	158.5854893	105.4449504	157.4892334	19.89054086	27.68510592	13.2479735	23.24434061	288.9005835	210.4904177	4	1.409838	1.141748	2.64936	0.64	12.97023487	108.2343674	12.68241119	10.65648842	12.12441444	102.4554242	38.71558331	102.3087792	0.833090162	0.513447201	0.690991807
44	4.35	14.29	8.64	9.63	6234.537208	18.29	303.5792638	1063.080196	620.0255987	983.304356	19.22163898	171.0902385	38.0809561	148.951444	1306.095968	0	4	0.29963	0.826348	3.504094	0.86	14.43037987	162.2999573	5.192092896	19.39234352	12.35049629	43.42371875	86.72429894	32.26031609	0.054429397	0.69530741	0.246045947
45	0.14	44.53	0.19	0	9382.27801	27.43	574.7074957	549.4843204	574.7074957	549.4843204	541.5225299	454.5095426	541.5	454.5095426	855.1817735	574.103626	4	0.135622	0.892582	1.54546	0.73	11.73024273	105.971138	20.48932266	32.82702637	13.30489922	57.14885467	94.10383061	145.8378417	0.764989519	0.153003037	0.880301404
46	2.8	18.54	5.03	4.76	3737.860911	29.26	485.325481	283.4007235	490.6209542	281.0967281	88.53659712	64.14954912	211.447319	11.26913875	1869	0	4	0.25232	0.39425	2.39704	0.56	9.636241913	144.1154785	3.637150288	25.10787964	14.24879265	46.79132677	97.52934922	67.75778908	0.105182317	0.651438868	0.420327353
48	8.03	25.64	18.84	14.12	4256.569242	9.45	415.2394276	855.7670627	430.4012037	928.4079496	37.80224698	92.63362118	31.33619539	8.649273024	2061.100394	0	4	0.753806	0.984048	3.18554	0.89	9.531007767	110.086853	20.99061584	34.92325592	11.71385288	80.19298211	15.23077242	67.61548923	0.143991777	0.073566732	0.256961846
49	9.8	27.51	24.04	19.51	3137.61437	6.71	495.4612026	444.5224658	335.6586835	125.539878	114.967512	51.20815565	257.1370341	51.20815565	1001.77348	590.6403671	4	0.277552	0.697034	3.65864	0.76	6.741503716	105.5692139	6.962380409	15.97127533	14.73664188	61.42617162	117.897661	117.0906097	0.180793953	0.45104872	0.906224906
50	2.31	16.11	4.03	3.67	4086.340214	15.24	377.0488459	23.82312655	380.6692774	293.4574776	172.5655387	0	168.9451073	100.1095288	154.4977555	258.2704512	4	0.223934	0.861042	3.65864	0.65	12.61715698	172.9203644	9.53834343	9.928573608	11.34297657	40.98803827	102.5266509	59.1946661	0.373932886	0.774805748	0.93124916
51	13.32	25.77	34.28	28.46	801.4745261	7.32	82.75338288	206.1332652	82.63725408	214.8568606	5.555601792	31.38264691	11.98449216	11.3806224	245.2082838	25.20459475	4	0.980894	0.728574	2.64936	0.64	11.35798073	170.0156555	3.543271542	11.91905212	11.28230667	159.2484201	52.25066665	71.48738731	0.959702352	0.078039828	0.428463531
52	5.2	21.51	10.84	8.12	22173.9861	76.51	2192.678969	2679.128577	1701.351952	2583.391994	2091.730526	615.0274151	2583.057544	710.7639978	1283.446207	0	3	0.318554	0.460484	1.841936	0.58	13.59269619	117.5917969	12.65642738	8.482625961	10.01209259	77.45073847	52.84074048	103.2431529	0.794922209	0.275216687	0.862211829
53	14.44	26.83	36.06	31.61	28930.65698	76.5	2192.604647	2679.128577	1701.351952	2583.391994	2091.730526	615.0274151	2583.057544	710.7361269	1283.446207	0	4	0.318554	0.460484	1.841936	0.58	8.706863403	119.0905533	8.177186966	8.043981552	13.93217468	145.2155459	92.4032647	98.48174576	0.877093887	0.763906729	0.742201114
54	1.77	31.43	3.51	1.52	5120.443953	12.8	914.3795906	461.0220457	857.978155	464.1435878	127.1842618	69.55650605	208.6416472	57.48840115	1381.449624	500.5058377	3	0.64657	0.6308	3.65864	0.65	13.92100239	123.0025177	21.54067039	33.88131332	11.86915207	54.44868317	88.01026219	88.10154341	0.830178499	0.192201722	0.099018258
55	2.29	25.22	5.17	0.11	11779.36225	11.13	935.8123219	124.0255584	827.0228621	560.4840403	265.5633398	342.0689933	219.4369805	51.3289296	2707.844907	1023.791501	2	0.12616	1.8924	2.39704	0.68	13.1187191	157.7108765	14.58336544	19.59508896	12.81075668	123.4100984	17.15612139	126.699022	0.741395283	0.116954562	0.381265235
56	6.67	37.49	16.35	3.92	10451.592	12.5	970.0099309	569.4120225	975.1381788	569.4120225	270.1806209	115.4227369	265.0523731	115.4227369	3533.567126	1198.802248	3	0.495178	0.760114	3.4694	0.89	10.42483139	138.835144	20.55874825	27.07678604	14.89022827	125.0430747	91.20357541	106.6021027	0.737611914	0.702030385	0.718796945
58	9.02	18.55	21.1	20.36	5122.580723	21.03	443.9650476	820.1294565	462.5549459	830.0700818	62.52374592	184.7562756	43.93384762	174.8156504	1699.651826	0	4	0.119852	0.608722	2.39704	0.56	9.533490181	149.0749054	4.902918816	6.977649689	10.62068844	121.1739057	90.50385598	15.92789276	0.638469505	0.369037688	0.050520009
59	9.3	20.2	26.12	13.8	8894.629953	10.06	877.933728	210.7040947	877.933728	210.7040947	134.2263122	52.67602368	134.2263122	52.67602368	2209.039195	1403.281839	1	0.135622	1.911324	1.54546	0.73	8.786310196	110.5535507	15.75021267	31.67744064	13.37951946	60.55311348	116.8223528	18.74460964	0.809507608	0.95711754	0.21683476
60	4.39	23.79	9.29	4.01	30647.13354	45.72	3327.981989	4508.658854	3413.963753	4328.315472	481.7022624	740.901744	475.2269205	719.6548188	6207.901907	2862.965113	3	0.129314	0.466792	1.577	0.58	12.0004921	109.6620941	16.19883728	10.75318527	10.14273357	132.8604725	97.13837403	106.2846209	0.715289211	0.597269976	0.498263717
61	0.14	27.33	0.23	0	10222.4002	8.53	727.5144159	486.2916726	263.1478608	486.2916726	185.2951133	81.2808697	100.8462499	81.2808697	3452.98303	0	3	0.151392	0.876812	3.18554	0.89	10.04694366	114.4028473	6.326488495	28.94792557	10.46935081	52.29170984	65.29840299	140.5871352	0.37252574	0.140943947	0.628724504
62	0.42	16.67	0.74	0.12	6845.18889	7.3152	1212.756284	649.5780557	1212.756284	649.5780557	38.83347072	18.39480192	38.83347072	18.39480192	4086.572472	0	3	0.123006	0.217626	3.65864	0.65	14.1784153	164.2332001	16.95598221	16.63946724	11.7357769	68.28971308	86.90896002	49.6646758	0.203202057	0.893296358	0.052343649
63	14.77	34.94	43.93	23.78	2323.133418	10.67	395.1259194	417.3761975	559.3692038	491.6428877	166.7237956	110.6103594	2.480511168	36.34366925	1238.871329	864.2769811	1	0.135622	0.66234	1.35622	0.73	6.107611656	132.4093933	13.17087555	12.80913734	10.6201725	116.1963191	127.7473578	64.96020855	0.537701464	0.804398453	0.553782582
64	4.92	27.77	11.47	3.35	6991.604081	12.8	1375.039314	1442.719179	1408.986085	1523.201083	45.92197267	54.22750445	47.3898407	52.60170125	1890.679057	703.0437552	3	0.230242	0.529872	3.504094	0.64	11.83532715	140.8302307	11.58109379	30.51052094	10.83683205	137.4939313	65.74890183	84.47100624	0.767930698	0.484853327	0.448990226
65	10.24	26.6	26.57	19.54	1212.570478	6.4	136.8601134	166.5472798	148.9049925	133.6596036	37.88585971	32.71580554	24.61466045	49.26183696	291.5947716	210.193128	3	1.633772	0.753806	3.28016	0.86	11.22856712	97.3808136	12.33855152	34.83822632	12.12055683	77.13101877	101.7694308	28.23136643	0.500444937	0.68579694	0.350700402
66	2.97	29.26	5.86	3.78	14642.81975	21.0312	1374.964992	749.9133389	1563.836872	882.3930739	263.1014093	17.83738368	263.1014093	47.3805504	1871.160129	679.3070285	4	0.23655	0.80427	3.154	0.59	7.348670006	155.7763977	11.90278339	33.3966217	10.46103382	105.774518	74.06163033	70.38555511	0.259572792	0.696743453	0.602870631
67	43.96	26.38	153.63	139.67	647.6270918	6.71	79.84087258	177.5191288	79.53429254	208.2050029	11.3899127	26.30085062	7.33934016	17.35428787	207.0437149	302.1113958	1	0.135622	2.390732	2.61782	0.73	12.52943802	117.905983	20.55656624	9.268592834	14.58720493	92.66885561	23.05780193	49.76173059	0.240541315	0.344511712	0.63754437
68	3.93	34.61	8.88	1.26	5961.216465	10.67	411.4211126	672.1442041	192.3278734	518.6869626	247.7538271	194.0001281	273.8688716	265.1081149	1195.922253	272.3266812	3	0.160854	0.902044	2.39704	0.68	14.20525837	118.6762085	8.671541214	26.48429108	13.7016449	124.4112893	154.6769225	111.0617373	0.812600994	0.883476116	0.752976012
69	3.08	23.19	6.68	1.42	8839.724256	15.49	210.6585722	433.3648107	267.4771425	405.168738	275.7362227	422.5230259	221.2950413	457.0829568	2111.574616	533.6443521	2	0.17347	0.495178	2.39704	0.56	10.4892292	163.355011	9.723844528	27.98988342	11.46493912	67.90011073	38.41616291	67.23685654	0.909438199	0.538062298	0.074992883
71	16.04	27.75	48.28	36.04	9518.380963	4.88	360.6124401	0	0	714.9817958	0	463.0287514	0	0	9518.380963	191.7518746	1	1.5432	0.968278	2.39704	0.68	7.501285553	137.4154053	19.05972862	16.11630058	11.23005295	92.89001364	14.01352899	45.16203908	0.345862961	0.071250902	0.618935275
